"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",26,"32.9%","3.8%","36.7%","54%","58%",77,72,92,2.3,"56.0%","24.5%","12%",-147,40,-5.9,8.3,"25.3%",508,"25.4%","22.7%",0.32,0.16
"Ahri","Middle",10,"12.7%","5.1%","17.7%","50%","70%",27,20,54,4.1,"67.5%","17.1%","10%",-44,35,0.7,8.4,"24.0%",522,"24.8%","22.5%",0.56,0.34
"Akali","Middle",11,"13.9%","10.1%","24.1%","45%","82%",37,25,50,3.5,"68.0%","18.9%","18%",-104,-46,-1.5,8.4,"23.7%",441,"24.2%","22.7%",0.24,0.24
"Alistar","Support",22,"27.8%","24.1%","51.9%","27%","27%",14,78,137,1.9,"64.0%","25.5%","27%",-79,64,3.5,1,"2.0%",120,"6.4%","8.4%",1.63,0.28
"Aphelios","ADC",22,"27.8%","12.7%","40.5%","50%","59%",96,31,75,5.5,"68.1%","13.2%","36%",28,-36,-3.5,9.8,"33.6%",612,"30.3%","28.2%",0.4,0.32
"Ashe","ADC",5,"6.3%","8.9%","21.5%","40%","60%",13,15,28,2.7,"68.3%","19.5%","40%",-315,-429,-2,9.3,"32.4%",612,"28.6%","25.7%",0.39,0.61
"Ashe","Support",5,"6.3%","8.9%","21.5%","60%","20%",9,11,37,4.2,"74.2%","19.3%","40%",6,32,-6.8,1,"4.2%",347,"15.1%","10.8%",2.55,0.7
"Azir","Middle",27,"34.2%","43.0%","77.2%","44%","52%",78,57,112,3.3,"65.7%","16.7%","22%",5,78,1,9.4,"27.9%",596,"28.0%","25.4%",0.48,0.31
"Bard","Support",6,"7.6%","2.5%","10.1%","67%","67%",8,15,58,4.4,"79.5%","28.8%","33%",174,55,-7.2,1,"3.2%",260,"12.5%","11.1%",2.59,0.64
"Bel'Veth","Jungle",6,"7.6%","3.8%","11.4%","33%","100%",10,17,22,1.9,"64.0%","20.2%","33%",195,271,8.7,6.5,"16.7%",231,"12.6%","19.8%",0.31,0.48
"Blitzcrank","Support",3,"3.8%","7.6%","11.4%","0%","100%",1,10,8,0.9,"60.0%","20.0%","0%",-343,-439,4.3,1,"2.2%",131,"7.9%","8.7%",1.59,0.2
"Braum","Support",3,"3.8%","1.3%","5.1%","33%","33%",1,6,17,3,"64.3%","17.6%","33%",-70,371,10.7,1.4,"2.9%",136,"7.1%","9.3%",1.88,0.51
"Caitlyn","ADC",7,"8.9%","22.8%","32.9%","43%","29%",26,15,33,3.9,"60.8%","15.5%","14%",191,37,6.3,9.8,"33.5%",644,"26.6%","27.3%",0.4,0.45
"Caitlyn","Support",1,"1.3%","22.8%","32.9%","0%","100%",0,1,2,2,"50.0%","7.7%","100%",280,234,-3,1.7,"10.3%",333,"23.2%","13.3%",2.31,0.78
"Camille","Top",1,"1.3%","0.0%","1.3%","0%","100%",1,3,2,1,"42.9%","20.0%","0%",-221,121,-5,8.4,"28.2%",271,"20.9%","23.9%",0.47,0.14
"Cassiopeia","Middle",1,"1.3%","0.0%","1.3%","0%","100%",2,3,1,1,"50.0%","21.4%","0%",218,-120,-8,8.7,"25.7%",436,"31.6%","21.2%",0.33,0.18
"Darius","-",0,"0%","5.1%","5.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Draven","ADC",3,"3.8%","11.4%","15.2%","67%","67%",14,4,11,6.3,"69.4%","16.0%","67%",822,-121,3.7,8.8,"30.7%",438,"20.7%","28.4%",0.41,0.29
"Ezreal","ADC",5,"6.3%","0.0%","6.3%","0%","100%",7,13,12,1.5,"61.3%","13.3%","0%",-97,53,-2.8,9.2,"30.1%",490,"24.5%","25.1%",0.4,0.24
"Garen","Top",1,"1.3%","3.8%","5.1%","0%","0%",2,4,3,1.3,"83.3%","28.6%","100%",628,-408,-16,7.6,"21.2%",402,"29.1%","28.7%",0.26,0.11
"Gnar","Top",7,"8.9%","7.6%","16.5%","71%","86%",21,14,30,3.6,"54.3%","19.4%","0%",-220,-110,-6.9,8.9,"26.2%",599,"26.8%","24.0%",0.36,0.27
"Gragas","Top",2,"2.5%","0.0%","2.5%","100%","100%",1,7,9,1.4,"33.3%","33.3%","0%",-323,-349,-2.5,7.9,"24.4%",479,"21.6%","18.9%",0.36,0.12
"Graves","Top",1,"1.3%","0.0%","1.3%","100%","100%",6,0,2,8,"61.5%","0.0%","0%",901,544,29,8.8,"28.0%",710,"28.7%","29.1%",0.21,0.21
"Gwen","Top",4,"5.1%","3.8%","8.9%","25%","75%",8,9,8,1.8,"72.7%","27.3%","75%",506,96,10.3,9.3,"28.9%",459,"31.6%","25.8%",0.4,0.26
"Heimerdinger","Support",2,"2.5%","1.3%","3.8%","50%","100%",1,5,11,2.4,"54.5%","18.5%","50%",104,-326,-7.5,0.6,"2.9%",357,"16.5%","9.4%",1.64,0.35
"Ivern","Jungle",1,"1.3%","3.8%","5.1%","0%","100%",0,0,8,8,"100.0%","0.0%","100%",253,342,4,5.5,"16.0%",309,"16.5%","18.5%",0.3,0.49
"Jarvan IV","Jungle",30,"38.0%","46.8%","84.8%","57%","40%",79,68,257,4.9,"84.6%","21.9%","53%",-23,-64,-0.4,5.8,"16.6%",285,"13.2%","19.0%",0.35,0.43
"Jax","Top",24,"30.4%","31.6%","62.0%","50%","46%",61,70,74,1.9,"47.4%","23.7%","29%",-83,-50,-3.2,8.5,"27.2%",506,"24.5%","23.2%",0.47,0.14
"Jayce","Middle",12,"15.2%","10.1%","30.4%","17%","42%",34,39,45,2,"68.7%","22.0%","33%",57,62,-0.9,8.9,"28.4%",630,"30.1%","26.3%",0.37,0.32
"Jayce","Top",4,"5.1%","10.1%","30.4%","75%","75%",19,14,18,2.6,"60.7%","25.5%","25%",-38,-125,5.5,8.7,"27.8%",860,"30.5%","26.3%",0.48,0.32
"Jhin","ADC",1,"1.3%","0.0%","1.3%","100%","100%",4,1,10,14,"60.9%","12.5%","0%",689,258,5,9.1,"29.6%",412,"16.9%","21.3%",0.52,0.16
"Jinx","ADC",3,"3.8%","2.5%","6.3%","67%","100%",20,2,16,18,"83.7%","8.7%","33%",-134,108,5.3,10.7,"34.0%",602,"28.5%","30.3%",0.44,0.39
"K'Sante","Middle",2,"2.5%","19.0%","55.7%","50%","50%",4,4,8,3,"60.0%","17.4%","0%",246,88,3,7.2,"17.4%",307,"17.0%","19.9%",0.42,0.46
"K'Sante","Top",27,"34.2%","19.0%","55.7%","41%","41%",63,79,129,2.4,"56.8%","21.9%","15%",-41,-94,-3.6,7.6,"22.2%",413,"19.5%","20.8%",0.4,0.18
"Kai'Sa","ADC",33,"41.8%","15.2%","57.0%","36%","39%",122,69,109,3.3,"68.3%","14.9%","21%",-19,-13,6.1,9.8,"32.2%",493,"25.5%","27.1%",0.58,0.41
